332,Велосипедная парковка № 37020 «Школа № 289»,37.62937,55.876083,Северо-Восточный административный округ
121,Велосипедная парковка № 37025 «Школа № 299»,37.660341,55.86819,Северо-Восточный административный округ
113,Велосипедная парковка № 37027 «Школа № 302»,37.579893,55.880033,Северо-Восточный административный округ
119,Велосипедная парковка № 37028 «Школа № 304»,37.634014,55.818398,Северо-Восточный административный округ
112,Велосипедная парковка № 37029 «Школа № 305»,37.580132,55.875446,Северо-Восточный административный округ
101,Велосипедная парковка № 37034 «Школа № 308»,37.642371,55.807141,Северо-Восточный административный округ
224,Велосипедная парковка № 34056 «Школа № 861»,37.585266,55.620733,Южный административный округ
273,Велосипедная парковка № 34057 «Школа № 867»,37.75625,55.637005,Южный административный округ
235,Велосипедная парковка № 34058 «Школа № 868»,37.653225,55.621264,Южный административный округ
208,Велосипедная парковка № 34060 «Школа № 870»,37.663196,55.624217,Южный административный округ
236,Велосипедная парковка № 34061 «Школа № 870»,37.662759,55.621517,Южный административный округ
193,Велосипедная парковка № 34063 «Школа № 877»,37.665787,55.593414,Южный административный округ
428,Велосипедная парковка № 37050 «Школа № 752»,37.688456,55.851475,Северо-Восточный административный округ
124,Велосипедная парковка № 37054 «Школа № 757»,37.670198,55.870579,Северо-Восточный административный округ
90,Велосипедная парковка № 37059 «Школа № 763»,37.694898,55.884149,Северо-Восточный административный округ
285,Велосипедная парковка № 34044 «Школа № 652»,37.580732,55.610674,Южный административный округ
241,Велосипедная парковка № 34045 «Школа № 657»,37.620025,55.605602,Южный административный округ
348,Велосипедная парковка № 34047 «Школа № 728»,37.608211,55.629802,Южный административный округ
342,Велосипедная парковка № 34126 «Центр образования № 1178»,37.596053,55.591928,Южный административный округ
288,Велосипедная парковка № 34043 «Школа № 639»,37.594838,55.713759,Южный административный округ
425,Велосипедная парковка № 37063 «Школа № 954»,37.636029,55.8953,Северо-Восточный административный округ
427,Велосипедная парковка № 37064 «Школа № 956»,37.642945,55.867514,Северо-Восточный административный округ
